x,y,Street Address,Postcode,Charge Type
412038,845695,/ Clerkhill Rd,AB42 2XF,Free
409613,846348,Longside Road,AB42 3JY,Free
409613,846348,Longside Road,AB42 3JY,Free
413096,842515,VICTORIA COTTAGE,AB42 3NA,Surcharging
399696,848326,Off Station Road,AB42 5EE,Free
399952,848265,The Square,AB42 5EH,Free
399952,848265,The Square,AB42 5EH,Free
400087,848116,South Street,AB42 5EL,Free
388186,856113,HIGH STREET,AB43 6NF,Surcharging
394711,855169,Bridge Street,AB43 6SS,Free
398159,866785,Banff Road,AB43 7ED,Surcharging
398159,866785,Watermill Road,AB43 7ED,Free
404958,856708,COWIE GARDENS,AB43 8RE,Surcharging
399816,866980,BROAD STREET,AB43 9AE,Free
399816,866980,BROAD STREET,AB43 9AE,Free
399728,866982,Mid Street,AB43 9AJ,Free
399795,866867,BROAD STREET,AB43 9AS,Free
399795,866867,BROAD STREET,AB43 9AS,Free
399795,866867,BROAD STREET,AB43 9AS,Free
399795,866867,Broad Street,AB43 9AS,Free
399806,866713,SEAFORTH STREET,AB43 9BB,Free
399806,866713,SEAFORTH STREET,AB43 9BB,Free
398329,866948,Watermill Road,AB43 9HA,Free
399328,866847,Albert Street,AB43 9JJ,Free
398782,866465,MACE SUPERMARKET,AB43 9NE,Free
399082,866002,ST MODANS PLACE,AB43 9NT,Surcharging
399159,867192,COLLEGE BOUNDS,AB43 9QS,Free
399854,865526,SOUTH HARBOUR ROAD,AB43 9TE,Free
370964,864156,DUFF STREET,AB44 1PS,Free
370442,864612,DUFF STREET,AB44 1TL,Free
369023,863996,CARMELITE STREET,AB45 1AF,Free
368865,863908,High Street,AB45 1AN,Free
368963,863907,LOW STREET,AB45 1AU,Free
368888,864114,Castle Street,AB45 1DL,Free
368398,864223,Boyndie Street,AB45 1EP,Surcharging
368041,863920,LUSYLAW ROAD,AB45 1EW,Free
369286,864025,Bridge Road,AB45 1HE,Free
358857,865962,Seafield St,AB45 2QL,Free
380842,827230,Market Square,AB51 0AY,Free
380083,826817,Colpy Road,AB51 0GX,Free
379276,816313,The Square,AB51 0UA,Free
379134,815136,KINTORE MIDMILL LOCAL,AB51 0UY,Free
379161,816439,Northern Road,AB51 0WL,Free
377493,821524,MARKET PLACE,AB51 3PU,Free
377493,821524,MARKET PLACE,AB51 3PU,Free
377275,821642,WEST HIGH STREET,AB51 3QR,Free
377275,821642,West High Street,AB51 3QR,Free
377825,820042,Elphinstone Road,AB51 3RN,Free
377391,821612,West High Street,AB51 3SL,Free
377391,821612,WEST HIGH STREET,AB51 3SL,Free
377391,821612,WEST HIGH STREET,AB51 3SL,Free
377391,821612,WEST HIGH STREET,AB51 3SL,Free
376193,822214,Burghmuir Drive,AB51 4GY,Free
376171,821663,BLACKHALL ROAD,AB51 4JP,Free
376171,821663,BLACKHALL ROAD,AB51 4JP,Free
377124,821732,North Street,AB51 4RJ,Free
377417,821817,GARIOCH CENTRE,AB51 4SB,Free
377417,821817,GARIOCH CENTRE,AB51 4SB,Free
377195,821989,HARLOW ROAD,AB51 4SR,Free
372904,831661,Meikle Wartle,AB51 5AX,Free
373218,816040,High Street,AB51 5NB,Free
373203,816188,AQUITHIE ROAD,AB51 5SS,Free
377771,818332,THAINSTONE AGRICULTURAL CENTRE,AB51 5XZ,Free
363076,828060,Commerce Street,AB52 6JB,Free
363323,828171,High Street,AB52 6JE,Free
372551,849828,MAIN STREET,AB53 4AA,Free
372587,850005,Fife Street,AB53 4BN,Surcharging
372724,849827,Balmellie Street,AB53 4DU,Free
372458,849810,HIGH STREET,AB53 4ED,Free
372371,849778,HIGH STREET,AB53 4EN,Free
388484,846986,MAIN STREET,AB53 6TA,Free
354119,828996,DEVERON ROAD,AB54 4NP,Free
353877,839299,ABERDEEN ROAD,AB54 6JB,Free
362677,852517,Main Street,AB54 7TD,Free
352913,839925,The Square,AB54 8AE,Free
352122,839716,Steven Road,AB54 8SX,Free
352122,839716,Steven Road,AB54 8SX,Free
332468,839943,FIFE STREET,AB55 4AL,Free
332468,839943,Fife Street,AB55 4AL,Free
343225,850374,MID STREET,AB55 5AE,Surcharging
343256,850625,MID STREET,AB55 5BL,Free
342772,850828,Regent Street,AB55 5DW,Free
342345,851080,Regent Street,AB55 5ED,Free
343373,850673,MOSS STREET,AB55 5HB,Free
342731,865650,East Church Street,AB56 1AB,Free
342582,865543,CLUNY SQUARE,AB56 1AH,Free
342582,865543,CLUNY SQUARE,AB56 1AH,Free
342349,865460,West Church Street,AB56 1BP,Surcharging
341872,865235,ST ANDREW SQUARE,AB56 1BT,Surcharging
342642,865635,EAST CHURCH STREET,AB56 1EX,Free
343194,865242,MILTON DRIVE,AB56 1NZ,Free
343168,864329,HIGH STREET,AB56 4AD,Free
346282,867808,Seaview Road,AB56 4QJ,Free
351188,867062,Grant Street,AB56 4RS,Free
340222,730421,MEADOWSIDE,DD1 1DD,Free
340222,730421,MEADOWSIDE,DD1 1DD,Free
340222,730421,Po Box,DD1 1DD,Free
340222,730421,Po Box Meadowside,DD1 1DD,Free
340222,730421,Po Box Meadowside,DD1 1DD,Free
340222,730421,Po Box,DD1 1DD,Free
340308,730376,CHAPEL STREET,DD1 1DQ,Surcharging
340062,730535,Kydd Building,DD1 1HG,Surcharging
339978,730403,a Rattray Street,DD1 1NA,Surcharging
339903,730364,COURTHOUSE SQUARE,DD1 1NH,Free
339796,730218,WEST MARKETGAIT,DD1 1NJ,Free
339796,730218,WEST MARKETGAIT,DD1 1NJ,Free
339851,730298,WEST PORT,DD1 1QP,Free
340361,730321,High Street,DD1 1SD,Free
340366,730265,HIGH STREET,DD1 1SS,Free
340366,730265,HIGH STREET,DD1 1SS,Free
340366,730265,HIGH STREET,DD1 1SS,Free
340366,730265,HIGH STREET,DD1 1SS,Free
340256,730368,REFORM STREET,DD1 1SW,Free
340256,730368,REFORM STREET,DD1 1SW,Free
340256,730368,REFORM STREET,DD1 1SW,Free
340256,730368,REFORM STREET,DD1 1SW,Free
340317,730202,HIGH STREET,DD1 1SZ,Free
340317,730202,HIGH STREET,DD1 1SZ,Free
340242,730387,Reform Street,DD1 1TF,Free
340242,730387,Reform Street,DD1 1TF,Free
340242,730387,Reform Street,DD1 1TF,Free
340130,730157,DUNDEE CITY,DD1 1UG,Surcharging
340238,730207,UPPER MALL ATM ROOM,DD1 1UQ,Free
340238,730207,Overgate Shopping Centre,DD1 1UQ,Free
340238,730207,Overgate Shopping Centre,DD1 1UQ,Free
